Description,Location,Price,Bedrooms,Bathrooms,Floor_area,Land_area,Latitude,Longitude,Cluster,region
"2-Bedroom Unit for Sale in Amisa Private Residences - Tower D, Lapu-Lapu City, Cebu","Mactan, Lapu-Lapu",15916180,2,2,74.0,0.0,10.3051555,124.0112408,0,Central Visayas
"1-Bedroom Unit for Sale in Amisa Private Residences - Tower D, Lapu-Lapu City, Cebu","Mactan, Lapu-Lapu",8730355,1,1,41.0,0.0,10.3051555,124.0112408,0,Central Visayas
"Offices at The Galleon - Prime Unit (11G) for Sale in Ortigas, Pasig","San Antonio, Pasig",27448000,0,0,82.0,0.0,14.588716,121.060009,0,National Capital Region
"1-Bedroom Unit (821) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16011000,1,0,58.0,0.0,14.588882,121.079016,0,National Capital Region
"Alice 2 Storey Townhouse For Sale in Lancaster New City in General Trias, Cavite","Tapia, General Trias",1935600,3,0,40.0,40.0,14.35507,120.876425,0,Calabarzon
"Studio Condo Unit (6B) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",7587013,1,1,32.0,0.0,14.578255,121.052143,0,National Capital Region
"Studio Deluxe (43E) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",13246000,1,1,46.0,0.0,14.575822,121.064324,0,National Capital Region
"1-Bedroom Unit (1918) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15492000,1,0,56.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (21J) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig","San Antonio, Pasig",26930000,1,1,70.0,0.0,14.588377,121.059897,0,National Capital Region
"Studio Condo Unit (6F) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",8360751,1,1,33.0,0.0,14.578255,121.052143,0,National Capital Region
"1-Bedroom Unit (11K) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",22042000,1,1,67.0,0.0,14.575822,121.064324,0,National Capital Region
"3-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | C...","Isabang, Tayabas",5110000,3,0,66.0,88.0,13.962775,121.564527,0,Calabarzon
"5-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Greta","Cupang Proper, Balanga",8982000,5,0,166.0,142.0,14.666375,120.54822,0,Central Luzon
"4-Bedroom Condo Unit for Sale at Camella Manors - Northpoint in Bajada, Davao City","Barangay 19-B, Davao",16487500,4,2,92.0,0.0,7.0928915,125.6056916,0,Davao
"2-Bedroom Townhouse for Sale at Hana South in Trece Martires, Cavite | Erica Model","Cabuco, Trece Martires",2089739,2,0,40.0,45.0,14.2737173,120.8443843,0,Calabarzon
"Studio Unit (52N) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",12415000,1,1,41.0,0.0,14.575822,121.064324,0,National Capital Region
"1-Bedroom Unit (3806) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16618000,1,0,57.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (4116) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",18160000,1,0,57.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (812) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15669000,1,0,58.0,0.0,14.588882,121.079016,0,National Capital Region
"2-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | C...","Isabang, Tayabas",2636000,2,0,40.0,54.0,13.962775,121.564527,0,Calabarzon
"1-Bedroom Unit (1121) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15229000,1,0,56.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (2018) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15492000,1,0,53.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (816) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15297000,1,0,56.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (3022) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16602000,1,1,58.0,0.0,14.588882,121.079016,0,National Capital Region
"For Sale: Studio Condo Unit at Camella Manors - Northpoint in Bajada, Davao City","Barangay 19-B, Davao",4009821,1,1,22.0,0.0,7.0928915,125.6056916,0,Davao
"5-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | E...","Isabang, Tayabas",8385000,5,0,100.0,194.0,13.962775,121.564527,0,Calabarzon
"2-Bedroom Unit (38O) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",35121000,2,2,106.0,0.0,14.575822,121.064324,0,National Capital Region
"2-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | C...","Isabang, Tayabas",4160000,2,0,40.0,108.0,13.962775,121.564527,0,Calabarzon
"2-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | A...","Isabang, Tayabas",2582000,2,0,36.0,59.0,13.962775,121.564527,0,Calabarzon
"Studio (4017) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",8872000,1,0,35.0,0.0,14.588882,121.079016,0,National Capital Region
"2-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Ezabelle, NRF...","Longos, Malolos",3365000,2,0,46.0,63.0,14.8743986,120.7973062,0,Central Luzon
"1-Bedroom Unit (12F) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",21625000,1,1,67.0,0.0,14.575822,121.064324,0,National Capital Region
"1-Bedroom Unit (34D) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",21129000,1,1,66.0,0.0,14.575822,121.064324,0,National Capital Region
"1-Bedroom Unit (3011) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15972000,1,0,58.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (4014) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16274000,1,0,57.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (4106) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",18392000,1,0,57.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (2707) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15898000,1,0,56.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (2318) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15627000,1,1,53.0,0.0,14.588882,121.079016,0,National Capital Region
"1-Bedroom Unit (1405) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15635000,1,0,56.0,0.0,14.588882,121.079016,0,National Capital Region
"3-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Cara, NRF...","Buli, Taal",5210000,3,0,66.0,88.0,13.885835,120.955093,0,Calabarzon
"5-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Elaisa WB...","Buli, Taal",7735000,5,0,97.0,130.0,13.885835,120.955093,0,Calabarzon
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Ezabelle,...","Buli, Taal",3012000,2,0,46.0,66.0,13.885835,120.955093,0,Calabarzon
"5-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Freya","Cupang Proper, Balanga",7751000,5,0,142.0,121.0,14.666375,120.54822,0,Central Luzon
"3-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Cara","Cupang Proper, Balanga",5057000,3,0,66.0,94.0,14.666375,120.54822,0,Central Luzon
"1-Bedroom Unit (32D) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",20793000,1,1,65.0,0.0,14.575822,121.064324,0,National Capital Region
"Studio Unit (17L) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",11539000,1,1,39.0,0.0,14.575822,121.064324,0,National Capital Region
"Studio Unit (47H) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",10744000,1,1,34.0,0.0,14.575822,121.064324,0,National Capital Region
"Studio Unit (53C) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",11159000,1,1,38.0,0.0,14.575822,121.064324,0,National Capital Region
"1-Bedroom Unit (3514) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16145000,1,0,57.0,0.0,14.588882,121.079016,0,National Capital Region
